month,year,month_num,wage_annual_pct,cpi_annual_pct
2000-01,2000,1,3.6,5.8
2000-02,2000,2,4.6,5.6
2000-03,2000,3,4.6,5.9
2000-04,2000,4,5.3,6.0
2000-05,2000,5,7.1,5.9
2000-06,2000,6,7.6,5.5
2000-07,2000,7,7.9,5.6
2000-08,2000,8,7.9,4.7
2000-09,2000,9,7.8,4.0
2000-10,2000,10,7.8,4.2
2000-11,2000,11,7.6,4.6
2000-12,2000,12,7.6,4.2
2001-01,2001,1,9.3,3.5
2001-02,2001,2,8.2,4.1
2001-03,2001,3,9.2,3.9
2001-04,2001,4,9.2,4.5
2001-05,2001,5,8.0,5.5
2001-06,2001,6,8.2,6.8
2001-07,2001,7,8.1,7.0
2001-08,2001,8,8.8,7.9
2001-09,2001,9,9.1,8.4
2001-10,2001,10,9.1,8.0
2001-11,2001,11,9.4,8.1
2001-12,2001,12,9.6,8.6
2002-01,2002,1,10.0,9.4
2002-02,2002,2,9.8,8.9
2002-03,2002,3,8.7,8.7
2002-04,2002,4,8.0,7.5
2002-05,2002,5,7.5,5.9
2002-06,2002,6,6.9,4.8
2002-07,2002,7,6.6,4.1
2002-08,2002,8,6.0,3.2
2002-09,2002,9,5.8,3.1
2002-10,2002,10,5.9,2.9
2002-11,2002,11,5.7,2.4
2002-12,2002,12,5.4,2.0
2003-01,2003,1,5.5,1.4
2003-02,2003,2,5.6,1.5
2003-03,2003,3,5.7,2.2
2003-04,2003,4,5.6,2.3
2003-05,2003,5,5.6,2.2
2003-06,2003,6,5.6,1.8
2003-07,2003,7,5.7,1.6
2003-08,2003,8,5.7,2.0
2003-09,2003,9,5.6,2.2
2003-10,2003,10,5.5,2.2
2003-11,2003,11,5.5,2.5
2003-12,2003,12,5.4,2.7
2004-01,2004,1,3.3,2.4
2004-02,2004,2,3.3,2.3
2004-03,2004,3,3.8,1.8
2004-04,2004,4,4.0,2.2
2004-05,2004,5,4.6,3.2
2004-06,2004,6,5.1,3.9
2004-07,2004,7,5.1,3.6
2004-08,2004,8,5.2,3.7
2004-09,2004,9,5.3,3.4
2004-10,2004,10,5.3,3.7
2004-11,2004,11,5.4,3.8
2004-12,2004,12,6.0,3.9
2005-01,2005,1,6.6,4.0
2005-02,2005,2,6.7,4.5
2005-03,2005,3,6.5,4.7
2005-04,2005,4,6.7,4.3
2005-05,2005,5,6.6,2.9
2005-06,2005,6,6.3,2.8
2005-07,2005,7,6.6,3.5
2005-08,2005,8,6.7,3.7
2005-09,2005,9,6.9,4.8
2005-10,2005,10,6.9,4.6
2005-11,2005,11,7.3,4.2
2005-12,2005,12,7.2,4.1
2006-01,2006,1,8.3,4.4
2006-02,2006,2,8.6,4.1
2006-03,2006,3,8.6,4.5
2006-04,2006,4,8.4,5.5
2006-05,2006,5,8.7,7.6
2006-06,2006,6,8.8,8.0
2006-07,2006,7,10.2,8.4
2006-08,2006,8,10.6,8.6
2006-09,2006,9,10.8,7.6
