month,year,month_num,season,wage_index,cpi,wage_to_cpi_ratio
1989-01,1989,1,Winter,100.0,112.6,0.8880994671403197
1989-02,1989,2,Winter,100.6,114.2,0.8809106830122592
1989-03,1989,3,Spring,101.3,117.4,0.862862010221465
1989-04,1989,4,Spring,102.6,119.9,0.8557130942452043
1989-05,1989,5,Spring,105.7,122.3,0.8642681929681112
1989-06,1989,6,Summer,106.3,125.9,0.8443208895949166
1989-07,1989,7,Summer,106.8,126.8,0.8422712933753943
1989-08,1989,8,Summer,107.0,128.5,0.8326848249027238
1989-09,1989,9,Autumn,110.1,131.1,0.8398169336384439
1989-10,1989,10,Autumn,110.3,133.7,0.824981301421092
1989-11,1989,11,Autumn,112.7,135.7,0.8305084745762713
1989-12,1989,12,Winter,112.7,138.6,0.8131313131313131
1990-01,1990,1,Winter,113.3,139.3,0.8133524766690595
1990-02,1990,2,Winter,114.7,141.5,0.8106007067137809
1990-03,1990,3,Spring,114.7,142.7,0.8037841625788368
1990-04,1990,4,Spring,114.7,143.1,0.8015373864430468
1990-05,1990,5,Spring,115.0,144.4,0.796398891966759
1990-06,1990,6,Summer,116.6,145.4,0.8019257221458046
1990-07,1990,7,Summer,116.9,146.4,0.7984972677595629
1990-08,1990,8,Summer,116.9,146.8,0.7963215258855586
1990-09,1990,9,Autumn,116.6,146.8,0.7942779291553133
1990-10,1990,10,Autumn,116.9,147.2,0.7941576086956523
1990-11,1990,11,Autumn,117.0,148.2,0.7894736842105263
1990-12,1990,12,Winter,120.1,148.6,0.8082099596231493
1991-01,1991,1,Winter,120.2,149.5,0.8040133779264215
1991-02,1991,2,Winter,120.3,150.0,0.8019999999999999
1991-03,1991,3,Spring,123.7,150.3,0.823020625415835
1991-04,1991,4,Spring,123.7,151.0,0.819205298013245
1991-05,1991,5,Spring,123.7,152.8,0.8095549738219895
1991-06,1991,6,Summer,127.0,154.9,0.8198837959974177
1991-07,1991,7,Summer,129.2,156.0,0.8282051282051281
1991-08,1991,8,Summer,129.2,157.2,0.821882951653944
1991-09,1991,9,Autumn,129.3,158.1,0.8178368121442127
1991-10,1991,10,Autumn,127.8,159.3,0.8022598870056497
1991-11,1991,11,Autumn,127.8,160.0,0.79875
1991-12,1991,12,Winter,127.8,159.8,0.799749687108886
1992-01,1992,1,Winter,127.8,160.2,0.7977528089887641
1992-02,1992,2,Winter,127.8,160.4,0.7967581047381546
1992-03,1992,3,Spring,128.1,160.6,0.7976338729763387
1992-04,1992,4,Spring,128.1,160.6,0.7976338729763387
1992-05,1992,5,Spring,130.0,160.5,0.8099688473520249
1992-06,1992,6,Summer,130.1,161.1,0.8075729360645562
1992-07,1992,7,Summer,130.2,161.4,0.8066914498141263
1992-08,1992,8,Summer,130.2,161.4,0.8066914498141263
1992-09,1992,9,Autumn,130.3,161.3,0.8078115313081216
1992-10,1992,10,Autumn,130.4,161.4,0.8079306071871127
1992-11,1992,11,Autumn,130.4,161.4,0.8079306071871127
1992-12,1992,12,Winter,130.7,162.2,0.8057953144266338
1993-01,1993,1,Winter,130.7,164.1,0.7964655697745276
1993-02,1993,2,Winter,130.8,165.3,0.7912885662431942
1993-03,1993,3,Spring,131.1,165.4,0.7926239419588875
1993-04,1993,4,Spring,131.1,165.9,0.7902350813743219
1993-05,1993,5,Spring,131.2,166.3,0.7889356584485868
1993-06,1993,6,Summer,131.3,166.2,0.7900120336943443
1993-07,1993,7,Summer,131.3,167.7,0.7829457364341087
1993-08,1993,8,Summer,131.3,169.2,0.7760047281323879
1993-09,1993,9,Autumn,131.5,169.8,0.7744405182567726
1993-10,1993,10,Autumn,131.5,170.8,0.7699063231850116
1993-11,1993,11,Autumn,131.8,170.8,0.7716627634660421
1993-12,1993,12,Winter,131.9,169.9,0.7763390229546793
1994-01,1994,1,Winter,131.9,169.3,0.7790903721204961
1994-02,1994,2,Winter,132.0,169.5,0.7787610619469026
1994-03,1994,3,Spring,132.1,169.7,0.7784325279905716
1994-04,1994,4,Spring,132.2,169.9,0.7781047675103001
1994-05,1994,5,Spring,132.2,169.9,0.7781047675103001
1994-06,1994,6,Summer,133.1,170.1,0.7824808935920047
1994-07,1994,7,Summer,133.1,170.4,0.7811032863849765
1994-08,1994,8,Summer,133.2,170.5,0.7812316715542521
1994-09,1994,9,Autumn,133.3,171.0,0.7795321637426901
1994-10,1994,10,Autumn,133.6,170.8,0.7822014051522247
1994-11,1994,11,Autumn,133.7,170.7,0.7832454598711189
1994-12,1994,12,Winter,133.8,170.8,0.7833723653395784
1995-01,1995,1,Winter,133.9,172.1,0.7780360255665312
1995-02,1995,2,Winter,134.8,172.3,0.7823563551944284
1995-03,1995,3,Spring,136.6,172.0,0.7941860465116278
1995-04,1995,4,Spring,137.3,171.8,0.7991850989522701
1995-05,1995,5,Spring,138.8,172.1,0.8065078442765835
1995-06,1995,6,Summer,139.6,172.3,0.8102147417295414
1995-07,1995,7,Summer,139.7,172.8,0.808449074074074
1995-08,1995,8,Summer,140.3,173.5,0.8086455331412105
1995-09,1995,9,Autumn,140.8,174.1,0.8087306145893166
1995-10,1995,10,Autumn,141.2,174.9,0.807318467695826
1995-11,1995,11,Autumn,141.5,174.3,0.8118187033849684
1995-12,1995,12,Winter,141.8,174.2,0.8140068886337545
1996-01,1996,1,Winter,146.7,174.9,0.8387650085763292
1996-02,1996,2,Winter,146.9,175.2,0.8384703196347033
1996-03,1996,3,Spring,147.4,175.5,0.8398860398860399
1996-04,1996,4,Spring,147.4,175.8,0.838452787258248
1996-05,1996,5,Spring,147.8,176.9,0.8355002826455625
1996-06,1996,6,Summer,147.9,176.7,0.837011884550085
1996-07,1996,7,Summer,147.9,176.9,0.8360655737704918
1996-08,1996,8,Summer,147.9,178.0,0.8308988764044944
1996-09,1996,9,Autumn,148.0,178.4,0.8295964125560538
1996-10,1996,10,Autumn,148.2,178.5,0.8302521008403361
1996-11,1996,11,Autumn,148.2,178.6,0.8297872340425532
1996-12,1996,12,Winter,148.7,177.8,0.8363329583802024
1997-01,1997,1,Winter,148.8,178.4,0.8340807174887893
1997-02,1997,2,Winter,148.9,178.5,0.8341736694677871
1997-03,1997,3,Spring,149.5,178.4,0.8380044843049327
1997-04,1997,4,Spring,154.1,179.7,0.857540345019477
1997-05,1997,5,Spring,156.7,179.4,0.8734671125975473
1997-06,1997,6,Summer,157.1,179.8,0.8737486095661846
1997-07,1997,7,Summer,157.9,180.1,0.8767351471404776
1997-08,1997,8,Summer,158.0,180.6,0.8748615725359912
1997-09,1997,9,Autumn,158.5,181.3,0.8742415885273027
1997-10,1997,10,Autumn,159.3,181.9,0.8757559098405717
1997-11,1997,11,Autumn,159.8,181.7,0.8794716565767751
1997-12,1997,12,Winter,160.7,181.4,0.8858875413450936
1998-01,1998,1,Winter,167.9,182.4,0.9205043859649122
1998-02,1998,2,Winter,168.4,182.0,0.9252747252747253
1998-03,1998,3,Spring,168.7,182.7,0.9233716475095786
1998-04,1998,4,Spring,169.2,183.1,0.9240851993446204
1998-05,1998,5,Spring,169.4,183.7,0.9221556886227545
1998-06,1998,6,Summer,169.9,184.0,0.9233695652173913
1998-07,1998,7,Summer,170.4,183.6,0.9281045751633987
1998-08,1998,8,Summer,171.4,182.6,0.9386637458926617
1998-09,1998,9,Autumn,171.7,182.8,0.9392778993435448
1998-10,1998,10,Autumn,172.1,183.6,0.9373638344226579
1998-11,1998,11,Autumn,172.5,184.1,0.9369907658881044
1998-12,1998,12,Winter,173.3,183.7,0.9433859553620034
1999-01,1999,1,Winter,180.4,184.8,0.9761904761904762
1999-02,1999,2,Winter,180.9,184.5,0.9804878048780488
1999-03,1999,3,Spring,181.2,185.4,0.977346278317152
1999-04,1999,4,Spring,181.4,186.4,0.973175965665236
1999-05,1999,5,Spring,181.6,187.3,0.9695675387079551
1999-06,1999,6,Summer,181.8,188.8,0.9629237288135594
1999-07,1999,7,Summer,182.0,189.5,0.9604221635883905
1999-08,1999,8,Summer,182.2,190.2,0.9579390115667719
1999-09,1999,9,Autumn,182.5,191.8,0.951511991657977
1999-10,1999,10,Autumn,182.9,193.3,0.9461976202793585
1999-11,1999,11,Autumn,183.5,193.3,0.9493016037247801
1999-12,1999,12,Winter,184.0,194.0,0.9484536082474226
2000-01,2000,1,Winter,186.9,195.5,0.9560102301790282
2000-02,2000,2,Winter,189.3,194.9,0.9712673165726013
2000-03,2000,3,Spring,189.6,196.4,0.965376782077393
2000-04,2000,4,Spring,191.1,197.6,0.9671052631578947
2000-05,2000,5,Spring,194.5,198.4,0.9803427419354839
2000-06,2000,6,Summer,195.7,199.1,0.9829231541938724
2000-07,2000,7,Summer,196.4,200.1,0.9815092453773114
2000-08,2000,8,Summer,196.6,199.1,0.9874434957307886
2000-09,2000,9,Autumn,196.8,199.5,0.9864661654135339
2000-10,2000,10,Autumn,197.2,201.5,0.9786600496277915
2000-11,2000,11,Autumn,197.4,202.1,0.9767441860465117
2000-12,2000,12,Winter,198.0,202.1,0.9797130133597229
2001-01,2001,1,Winter,204.2,202.4,1.008893280632411
2001-02,2001,2,Winter,204.8,202.8,1.009861932938856
2001-03,2001,3,Spring,207.0,204.0,1.0147058823529411
2001-04,2001,4,Spring,208.7,206.5,1.0106537530266344
2001-05,2001,5,Spring,210.0,209.4,1.002865329512894
2001-06,2001,6,Summer,211.7,212.6,0.995766698024459
2001-07,2001,7,Summer,212.4,214.2,0.9915966386554622
2001-08,2001,8,Summer,213.9,214.9,0.9953466728711028
2001-09,2001,9,Autumn,214.8,216.3,0.9930651872399445
2001-10,2001,10,Autumn,215.2,217.7,0.9885163068442812
2001-11,2001,11,Autumn,215.9,218.5,0.9881006864988559
2001-12,2001,12,Winter,217.0,219.5,0.9886104783599089
2002-01,2002,1,Winter,224.6,221.5,1.0139954853273137
2002-02,2002,2,Winter,224.8,220.9,1.0176550475328203
2002-03,2002,3,Spring,225.0,221.8,1.0144274120829575
2002-04,2002,4,Spring,225.4,221.9,1.0157728706624605
2002-05,2002,5,Spring,225.8,221.8,1.018034265103697
2002-06,2002,6,Summer,226.3,222.8,1.0157091561938958
2002-07,2002,7,Summer,226.5,223.0,1.015695067264574
2002-08,2002,8,Summer,226.7,221.8,1.0220919747520287
2002-09,2002,9,Autumn,227.2,222.9,1.019291161956034
2002-10,2002,10,Autumn,227.9,224.1,1.0169567157518966
2002-11,2002,11,Autumn,228.1,223.7,1.019669199821189
2002-12,2002,12,Winter,228.7,223.9,1.0214381420276908
2003-01,2003,1,Winter,237.0,224.7,1.054739652870494
2003-02,2003,2,Winter,237.5,224.3,1.0588497547926883
2003-03,2003,3,Spring,237.8,226.7,1.0489633877370976
2003-04,2003,4,Spring,238.0,227.0,1.0484581497797356
2003-05,2003,5,Spring,238.5,226.6,1.0525154457193293
2003-06,2003,6,Summer,239.0,226.8,1.0537918871252203
2003-07,2003,7,Summer,239.3,226.5,1.0565121412803533
2003-08,2003,8,Summer,239.6,226.3,1.0587715422006185
2003-09,2003,9,Autumn,239.9,227.9,1.052654673102238
2003-10,2003,10,Autumn,240.4,229.0,1.0497816593886462
2003-11,2003,11,Autumn,240.7,229.3,1.0497165285651984
2003-12,2003,12,Winter,241.0,230.0,1.0478260869565217
2004-01,2004,1,Winter,244.9,230.1,1.0643198609300304
2004-02,2004,2,Winter,245.4,229.4,1.06974716652136
2004-03,2004,3,Spring,246.8,230.7,1.069787602947551
2004-04,2004,4,Spring,247.5,232.0,1.0668103448275863
2004-05,2004,5,Spring,249.5,233.9,1.066695168875588
2004-06,2004,6,Summer,251.1,235.7,1.065337293169283
2004-07,2004,7,Summer,251.4,234.6,1.071611253196931
2004-08,2004,8,Summer,252.0,234.6,1.0741687979539642
2004-09,2004,9,Autumn,252.5,235.6,1.0717317487266553
2004-10,2004,10,Autumn,253.2,237.4,1.0665543386689131
2004-11,2004,11,Autumn,253.8,237.9,1.0668348045397227
2004-12,2004,12,Winter,255.5,239.0,1.0690376569037656
2005-01,2005,1,Winter,261.1,239.2,1.0915551839464885
2005-02,2005,2,Winter,261.9,239.7,1.0926157697121401
2005-03,2005,3,Spring,262.9,241.5,1.0886128364389234
2005-04,2005,4,Spring,264.2,242.0,1.0917355371900825
2005-05,2005,5,Spring,265.9,240.7,1.1046946406314915
2005-06,2005,6,Summer,267.0,242.4,1.1014851485148514
2005-07,2005,7,Summer,268.0,242.7,1.1042439225381129
2005-08,2005,8,Summer,268.9,243.2,1.105674342105263
2005-09,2005,9,Autumn,269.8,246.9,1.0927501012555692
2005-10,2005,10,Autumn,270.6,248.4,1.0893719806763287
2005-11,2005,11,Autumn,272.3,248.0,1.097983870967742
2005-12,2005,12,Winter,273.9,248.9,1.1004419445560465
2006-01,2006,1,Winter,282.8,249.7,1.1325590708850621
2006-02,2006,2,Winter,284.4,249.5,1.139879759519038
2006-03,2006,3,Spring,285.4,252.3,1.1311930241775663
2006-04,2006,4,Spring,286.4,255.2,1.122257053291536
2006-05,2006,5,Spring,289.1,258.9,1.1166473541908075
2006-06,2006,6,Summer,290.4,261.9,1.1088201603665522
2006-07,2006,7,Summer,295.4,263.1,1.122767008741923
2006-08,2006,8,Summer,297.4,264.0,1.1265151515151515
2006-09,2006,9,Autumn,298.9,265.6,1.1253765060240961
2006-10,2006,10,Autumn,300.4,266.2,1.1284748309541697
2006-11,2006,11,Autumn,301.0,266.1,1.1311537016159339
2006-12,2006,12,Winter,300.8,266.2,1.1299774605559731
2007-01,2007,1,Winter,311.5,266.9,1.1671037841888348
2007-02,2007,2,Winter,312.3,268.0,1.1652985074626867
2007-03,2007,3,Spring,313.2,267.1,1.1725945338824408
2007-04,2007,4,Spring,314.6,268.7,1.17082247860067
2007-05,2007,5,Spring,316.9,271.0,1.169372693726937
2007-06,2007,6,Summer,319.0,272.4,1.171071953010279
2007-07,2007,7,Summer,319.8,273.0,1.1714285714285715
2007-08,2007,8,Summer,321.1,273.1,1.1757597949469059
2007-09,2007,9,Autumn,323.1,276.7,1.1676906396819662
2007-10,2007,10,Autumn,324.6,278.1,1.1672060409924487
2007-11,2007,11,Autumn,325.9,279.9,1.164344408717399
2007-12,2007,12,Winter,326.6,281.8,1.1589779985805537
2008-01,2008,1,Winter,330.9,282.3,1.1721572794899042
2008-02,2008,2,Winter,333.5,286.2,1.1652690426275332
2008-03,2008,3,Spring,337.6,290.4,1.1625344352617082
2008-04,2008,4,Spring,340.5,300.3,1.1338661338661338
2008-05,2008,5,Spring,342.0,304.4,1.123521681997372
2008-06,2008,6,Summer,346.2,307.1,1.1273200911755128
2008-07,2008,7,Summer,348.8,310.0,1.1251612903225807
2008-08,2008,8,Summer,350.4,312.8,1.1202046035805626
2008-09,2008,9,Autumn,352.2,315.5,1.116323296354992
2008-10,2008,10,Autumn,353.3,322.3,1.0961836798014273
2008-11,2008,11,Autumn,351.3,327.9,1.071363220494053
2008-12,2008,12,Winter,353.6,332.9,1.0621808350856115
2009-01,2009,1,Winter,355.7,334.8,1.0624253285543608
