Mánuður,value,source,fetched_at
1989M01,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M02,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M03,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M04,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M05,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M06,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M07,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M08,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M09,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M10,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M11,,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1989M12,12.7,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M01,13.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M02,14.0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M03,13.2,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M04,11.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M05,8.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M06,9.7,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M07,9.5,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M08,9.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M09,5.9,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M10,6.0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M11,3.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1990M12,6.6,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M01,6.1,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M02,4.9,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M03,7.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M04,7.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M05,7.6,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M06,8.9,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M07,10.5,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M08,10.5,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M09,10.9,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M10,9.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M11,9.2,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1991M12,6.4,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M01,6.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M02,6.2,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M03,3.6,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M04,3.6,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M05,5.1,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M06,2.4,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M07,0.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M08,0.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M09,0.8,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M10,2.0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M11,2.0,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1992M12,2.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
1993M01,2.3,https://px.hagstofa.is/pxis/pxweb/is/Samfelag__launogtekjur__2_lvt__1_manadartolur/LAU04000.px,2026-02-05T14:45:06.485865+00:00
